3_1	 1-t+t^2
13a_3729	 -2+12*t-34*t^2+60*t^3-71*t^4+60*t^5-34*t^6+12*t^7-2*t^8
13a_3730	 -1+7*t-23*t^2+50*t^3-77*t^4+89*t^5-77*t^6+50*t^7-23*t^8+7*t^9-t^10
13a_3731	 -2+14*t-44*t^2+84*t^3-103*t^4+84*t^5-44*t^6+14*t^7-2*t^8
13a_3732	 -2+14*t-48*t^2+99*t^3-125*t^4+99*t^5-48*t^6+14*t^7-2*t^8
13a_3733	 -1+7*t-24*t^2+52*t^3-78*t^4+89*t^5-78*t^6+52*t^7-24*t^8+7*t^9-t^10
13a_3734	 1-7*t+23*t^2-51*t^3+83*t^4-97*t^5+83*t^6-51*t^7+23*t^8-7*t^9+t^10
13a_3735	 1-7*t+21*t^2-38*t^3+51*t^4-55*t^5+51*t^6-38*t^7+21*t^8-7*t^9+t^10
13a_3736	 2-14*t+42*t^2-74*t^3+89*t^4-74*t^5+42*t^6-14*t^7+2*t^8
13a_3737	 -1+7*t-26*t^2+63*t^3-106*t^4+127*t^5-106*t^6+63*t^7-26*t^8+7*t^9-t^10
13a_3738	 1-8*t+28*t^2-62*t^3+98*t^4-113*t^5+98*t^6-62*t^7+28*t^8-8*t^9+t^10
13a_3739	 -1+7*t-26*t^2+62*t^3-101*t^4+119*t^5-101*t^6+62*t^7-26*t^8+7*t^9-t^10
13a_3740	 -1+6*t-18*t^2+37*t^3-55*t^4+63*t^5-55*t^6+37*t^7-18*t^8+6*t^9-t^10
13a_3741	 -2+11*t-29*t^2+50*t^3-59*t^4+50*t^5-29*t^6+11*t^7-2*t^8
13a_3742	 -1+6*t-18*t^2+37*t^3-57*t^4+67*t^5-57*t^6+37*t^7-18*t^8+6*t^9-t^10
13a_3743	 1-6*t+18*t^2-36*t^3+53*t^4-59*t^5+53*t^6-36*t^7+18*t^8-6*t^9+t^10
13a_3744	 1-6*t+17*t^2-34*t^3+50*t^4-55*t^5+50*t^6-34*t^7+17*t^8-6*t^9+t^10
13a_3745	 2-12*t+36*t^2-69*t^3+87*t^4-69*t^5+36*t^6-12*t^7+2*t^8
13a_3746	 2-13*t+38*t^2-72*t^3+91*t^4-72*t^5+38*t^6-13*t^7+2*t^8
13a_3747	 -4+23*t-57*t^2+77*t^3-57*t^4+23*t^5-4*t^6
13a_3748	 -1+6*t-17*t^2+33*t^3-48*t^4+55*t^5-48*t^6+33*t^7-17*t^8+6*t^9-t^10
13a_3749	 -2+11*t-27*t^2+42*t^3-47*t^4+42*t^5-27*t^6+11*t^7-2*t^8
13a_3750	 -1+7*t-23*t^2+50*t^3-76*t^4+87*t^5-76*t^6+50*t^7-23*t^8+7*t^9-t^10
13a_3751	 -2+14*t-44*t^2+85*t^3-105*t^4+85*t^5-44*t^6+14*t^7-2*t^8
13a_3752	 -2+16*t-58*t^2+123*t^3-157*t^4+123*t^5-58*t^6+16*t^7-2*t^8
13a_3753	 -1+7*t-24*t^2+53*t^3-81*t^4+93*t^5-81*t^6+53*t^7-24*t^8+7*t^9-t^10
13a_3754	 1-7*t+21*t^2-38*t^3+52*t^4-57*t^5+52*t^6-38*t^7+21*t^8-7*t^9+t^10
13a_3755	 1-7*t+23*t^2-52*t^3+86*t^4-101*t^5+86*t^6-52*t^7+23*t^8-7*t^9+t^10
13a_3756	 2-14*t+42*t^2-73*t^3+87*t^4-73*t^5+42*t^6-14*t^7+2*t^8
13a_3757	 -1+8*t-28*t^2+61*t^3-93*t^4+107*t^5-93*t^6+61*t^7-28*t^8+8*t^9-t^10
13a_3758	 2-16*t+53*t^2-97*t^3+117*t^4-97*t^5+53*t^6-16*t^7+2*t^8
13a_3759	 1-11*t+45*t^2-96*t^3+123*t^4-96*t^5+45*t^6-11*t^7+t^8
13a_3760	 -2+12*t-33*t^2+57*t^3-67*t^4+57*t^5-33*t^6+12*t^7-2*t^8
13a_3761	 -4+22*t-52*t^2+69*t^3-52*t^4+22*t^5-4*t^6
13a_3762	 3-19*t+55*t^2-96*t^3+115*t^4-96*t^5+55*t^6-19*t^7+3*t^8
13a_3763	 -1+7*t-25*t^2+59*t^3-99*t^4+119*t^5-99*t^6+59*t^7-25*t^8+7*t^9-t^10
13a_3764	 1-7*t+24*t^2-54*t^3+86*t^4-99*t^5+86*t^6-54*t^7+24*t^8-7*t^9+t^10
13a_3765	 -1+7*t-25*t^2+58*t^3-94*t^4+111*t^5-94*t^6+58*t^7-25*t^8+7*t^9-t^10
13a_3766	 -1+7*t-23*t^2+50*t^3-78*t^4+91*t^5-78*t^6+50*t^7-23*t^8+7*t^9-t^10
13a_3767	 1-6*t+19*t^2-43*t^3+70*t^4-81*t^5+70*t^6-43*t^7+19*t^8-6*t^9+t^10
13a_3768	 2-11*t+29*t^2-52*t^3+65*t^4-52*t^5+29*t^6-11*t^7+2*t^8
13a_3769	 1-8*t+30*t^2-71*t^3+117*t^4-137*t^5+117*t^6-71*t^7+30*t^8-8*t^9+t^10
13a_3770	 1-8*t+30*t^2-69*t^3+111*t^4-129*t^5+111*t^6-69*t^7+30*t^8-8*t^9+t^10
13a_3771	 -3+17*t-41*t^2+66*t^3-77*t^4+66*t^5-41*t^6+17*t^7-3*t^8
13a_3772	 -3+18*t-53*t^2+98*t^3-119*t^4+98*t^5-53*t^6+18*t^7-3*t^8
13a_3773	 -3+19*t-55*t^2+100*t^3-121*t^4+100*t^5-55*t^6+19*t^7-3*t^8
13a_3774	 2-15*t+49*t^2-95*t^3+119*t^4-95*t^5+49*t^6-15*t^7+2*t^8
13a_3775	 2-14*t+46*t^2-91*t^3+115*t^4-91*t^5+46*t^6-14*t^7+2*t^8
13a_3776	 -3+16*t-42*t^2+72*t^3-85*t^4+72*t^5-42*t^6+16*t^7-3*t^8
13a_3777	 -5+25*t-56*t^2+73*t^3-56*t^4+25*t^5-5*t^6
13a_3778	 -6+38*t-100*t^2+137*t^3-100*t^4+38*t^5-6*t^6
13a_3779	 2-14*t+43*t^2-77*t^3+93*t^4-77*t^5+43*t^6-14*t^7+2*t^8
13a_3780	 -1+11*t-45*t^2+94*t^3-117*t^4+94*t^5-45*t^6+11*t^7-t^8
13a_3781	 -1+6*t-20*t^2+46*t^3-75*t^4+89*t^5-75*t^6+46*t^7-20*t^8+6*t^9-t^10
13a_3782	 -2+15*t-48*t^2+92*t^3-113*t^4+92*t^5-48*t^6+15*t^7-2*t^8
13a_3783	 -3+15*t-34*t^2+53*t^3-61*t^4+53*t^5-34*t^6+15*t^7-3*t^8
13a_3784	 -5+23*t-44*t^2+53*t^3-44*t^4+23*t^5-5*t^6
13a_3785	 -1+7*t-23*t^2+50*t^3-79*t^4+93*t^5-79*t^6+50*t^7-23*t^8+7*t^9-t^10
13a_3786	 1-7*t+23*t^2-49*t^3+75*t^4-85*t^5+75*t^6-49*t^7+23*t^8-7*t^9+t^10
13a_3787	 3-17*t+49*t^2-86*t^3+103*t^4-86*t^5+49*t^6-17*t^7+3*t^8
13a_3788	 -3+16*t-38*t^2+61*t^3-71*t^4+61*t^5-38*t^6+16*t^7-3*t^8
13a_3789	 -3+15*t-38*t^2+66*t^3-79*t^4+66*t^5-38*t^6+15*t^7-3*t^8
13a_3790	 1-6*t+18*t^2-38*t^3+58*t^4-65*t^5+58*t^6-38*t^7+18*t^8-6*t^9+t^10
13a_3791	 2-12*t+34*t^2-64*t^3+81*t^4-64*t^5+34*t^6-12*t^7+2*t^8
13a_3792	 3-18*t+51*t^2-89*t^3+107*t^4-89*t^5+51*t^6-18*t^7+3*t^8
13a_3793	 -1+7*t-23*t^2+51*t^3-81*t^4+95*t^5-81*t^6+51*t^7-23*t^8+7*t^9-t^10
13a_3794	 -2+14*t-43*t^2+80*t^3-97*t^4+80*t^5-43*t^6+14*t^7-2*t^8
13a_3795	 -3+18*t-52*t^2+95*t^3-115*t^4+95*t^5-52*t^6+18*t^7-3*t^8
13a_3796	 -3+16*t-40*t^2+61*t^3-67*t^4+61*t^5-40*t^6+16*t^7-3*t^8
13a_3797	 1-7*t+22*t^2-45*t^3+68*t^4-77*t^5+68*t^6-45*t^7+22*t^8-7*t^9+t^10
13a_3798	 2-13*t+35*t^2-57*t^3+67*t^4-57*t^5+35*t^6-13*t^7+2*t^8
13a_3799	 -2+16*t-54*t^2+106*t^3-131*t^4+106*t^5-54*t^6+16*t^7-2*t^8
13a_3800	 -3+15*t-34*t^2+48*t^3-51*t^4+48*t^5-34*t^6+15*t^7-3*t^8
13a_3801	 -6+33*t-80*t^2+107*t^3-80*t^4+33*t^5-6*t^6
13a_3802	 1-6*t+17*t^2-33*t^3+48*t^4-53*t^5+48*t^6-33*t^7+17*t^8-6*t^9+t^10
13a_3803	 2-13*t+39*t^2-74*t^3+93*t^4-74*t^5+39*t^6-13*t^7+2*t^8
13a_3804	 1-7*t+24*t^2-54*t^3+88*t^4-103*t^5+88*t^6-54*t^7+24*t^8-7*t^9+t^10
13a_3805	 1-6*t+18*t^2-38*t^3+60*t^4-69*t^5+60*t^6-38*t^7+18*t^8-6*t^9+t^10
13a_3806	 2-12*t+34*t^2-62*t^3+77*t^4-62*t^5+34*t^6-12*t^7+2*t^8
13a_3807	 -3+19*t-57*t^2+105*t^3-127*t^4+105*t^5-57*t^6+19*t^7-3*t^8
13a_3808	 -3+15*t-38*t^2+67*t^3-81*t^4+67*t^5-38*t^6+15*t^7-3*t^8
13a_3809	 -6+29*t-61*t^2+77*t^3-61*t^4+29*t^5-6*t^6
13a_3810	 1-7*t+24*t^2-51*t^3+77*t^4-87*t^5+77*t^6-51*t^7+24*t^8-7*t^9+t^10
13a_3811	 -1+8*t-30*t^2+68*t^3-107*t^4+125*t^5-107*t^6+68*t^7-30*t^8+8*t^9-t^10
13a_3812	 1-7*t+25*t^2-56*t^3+88*t^4-101*t^5+88*t^6-56*t^7+25*t^8-7*t^9+t^10
13a_3813	 -3+14*t-33*t^2+56*t^3-67*t^4+56*t^5-33*t^6+14*t^7-3*t^8
13a_3814	 -6+24*t-41*t^2+47*t^3-41*t^4+24*t^5-6*t^6
13a_3815	 3-18*t+52*t^2-92*t^3+111*t^4-92*t^5+52*t^6-18*t^7+3*t^8
13a_3816	 3-19*t+57*t^2-100*t^3+119*t^4-100*t^5+57*t^6-19*t^7+3*t^8
13a_3817	 -3+18*t-50*t^2+87*t^3-103*t^4+87*t^5-50*t^6+18*t^7-3*t^8
13a_3818	 -3+15*t-36*t^2+55*t^3-61*t^4+55*t^5-36*t^6+15*t^7-3*t^8
13a_3819	 -6+31*t-73*t^2+97*t^3-73*t^4+31*t^5-6*t^6
13a_3820	 -3+16*t-44*t^2+80*t^3-97*t^4+80*t^5-44*t^6+16*t^7-3*t^8
13a_3821	 -3+16*t-43*t^2+74*t^3-87*t^4+74*t^5-43*t^6+16*t^7-3*t^8
13a_3822	 -5+24*t-54*t^2+71*t^3-54*t^4+24*t^5-5*t^6
13a_3823	 -1+7*t-24*t^2+54*t^3-83*t^4+95*t^5-83*t^6+54*t^7-24*t^8+7*t^9-t^10
13a_3824	 1-7*t+25*t^2-59*t^3+98*t^4-115*t^5+98*t^6-59*t^7+25*t^8-7*t^9+t^10
13a_3825	 4-24*t+59*t^2-77*t^3+59*t^4-24*t^5+4*t^6
13a_3826	 -4+24*t-59*t^2+79*t^3-59*t^4+24*t^5-4*t^6
13a_3827	 1-6*t+17*t^2-31*t^3+44*t^4-49*t^5+44*t^6-31*t^7+17*t^8-6*t^9+t^10
13a_3828	 -1+6*t-17*t^2+35*t^3-52*t^4+59*t^5-52*t^6+35*t^7-17*t^8+6*t^9-t^10
13a_3829	 2-11*t+27*t^2-40*t^3+45*t^4-40*t^5+27*t^6-11*t^7+2*t^8
13a_3830	 -2+11*t-27*t^2+46*t^3-55*t^4+46*t^5-27*t^6+11*t^7-2*t^8
13a_3831	 2-12*t+33*t^2-55*t^3+65*t^4-55*t^5+33*t^6-12*t^7+2*t^8
13a_3832	 -2+12*t-31*t^2+53*t^3-63*t^4+53*t^5-31*t^6+12*t^7-2*t^8
13a_3833	 4-22*t+52*t^2-67*t^3+52*t^4-22*t^5+4*t^6
13a_3834	 -4+22*t-48*t^2+61*t^3-48*t^4+22*t^5-4*t^6
13a_3835	 2-16*t+56*t^2-112*t^3+141*t^4-112*t^5+56*t^6-16*t^7+2*t^8
13a_3836	 1-7*t+23*t^2-47*t^3+68*t^4-75*t^5+68*t^6-47*t^7+23*t^8-7*t^9+t^10
13a_3837	 2-15*t+51*t^2-102*t^3+129*t^4-102*t^5+51*t^6-15*t^7+2*t^8
13a_3838	 2-11*t+27*t^2-43*t^3+51*t^4-43*t^5+27*t^6-11*t^7+2*t^8
13a_3839	 -2+15*t-53*t^2+107*t^3-133*t^4+107*t^5-53*t^6+15*t^7-2*t^8
13a_3840	 -1+7*t-22*t^2+46*t^3-71*t^4+83*t^5-71*t^6+46*t^7-22*t^8+7*t^9-t^10
13a_3841	 -2+15*t-48*t^2+90*t^3-109*t^4+90*t^5-48*t^6+15*t^7-2*t^8
13a_3842	 -2+15*t-49*t^2+95*t^3-117*t^4+95*t^5-49*t^6+15*t^7-2*t^8
13a_3843	 1-7*t+24*t^2-51*t^3+77*t^4-87*t^5+77*t^6-51*t^7+24*t^8-7*t^9+t^10
13a_3844	 2-14*t+47*t^2-93*t^3+117*t^4-93*t^5+47*t^6-14*t^7+2*t^8
13a_3845	 2-11*t+25*t^2-33*t^3+35*t^4-33*t^5+25*t^6-11*t^7+2*t^8
13a_3846	 -1+7*t-22*t^2+42*t^3-55*t^4+59*t^5-55*t^6+42*t^7-22*t^8+7*t^9-t^10
13a_3847	 -2+15*t-50*t^2+98*t^3-121*t^4+98*t^5-50*t^6+15*t^7-2*t^8
13a_3848	 -2+16*t-55*t^2+109*t^3-135*t^4+109*t^5-55*t^6+16*t^7-2*t^8
13a_3849	 -1+7*t-24*t^2+52*t^3-81*t^4+95*t^5-81*t^6+52*t^7-24*t^8+7*t^9-t^10
13a_3850	 -1+6*t-18*t^2+32*t^3-39*t^4+41*t^5-39*t^6+32*t^7-18*t^8+6*t^9-t^10
13a_3851	 -2+13*t-42*t^2+80*t^3-97*t^4+80*t^5-42*t^6+13*t^7-2*t^8
13a_3852	 -2+9*t-15*t^2+17*t^3-17*t^4+17*t^5-15*t^6+9*t^7-2*t^8
13a_3853	 -2+11*t-27*t^2+43*t^3-49*t^4+43*t^5-27*t^6+11*t^7-2*t^8
13a_3854	 -2+11*t-25*t^2+35*t^3-37*t^4+35*t^5-25*t^6+11*t^7-2*t^8
13a_3855	 -1+7*t-21*t^2+40*t^3-57*t^4+65*t^5-57*t^6+40*t^7-21*t^8+7*t^9-t^10
13a_3856	 -2+15*t-47*t^2+85*t^3-101*t^4+85*t^5-47*t^6+15*t^7-2*t^8
13a_3857	 -1+7*t-22*t^2+44*t^3-61*t^4+67*t^5-61*t^6+44*t^7-22*t^8+7*t^9-t^10
13a_3858	 -2+15*t-50*t^2+100*t^3-125*t^4+100*t^5-50*t^6+15*t^7-2*t^8
13a_3859	 3-20*t+60*t^2-107*t^3+129*t^4-107*t^5+60*t^6-20*t^7+3*t^8
13a_3860	 -1+7*t-23*t^2+52*t^3-86*t^4+103*t^5-86*t^6+52*t^7-23*t^8+7*t^9-t^10
13a_3861	 -2+17*t-61*t^2+121*t^3-149*t^4+121*t^5-61*t^6+17*t^7-2*t^8
13a_3862	 -2+17*t-59*t^2+113*t^3-137*t^4+113*t^5-59*t^6+17*t^7-2*t^8
13a_3863	 -1+7*t-24*t^2+54*t^3-85*t^4+99*t^5-85*t^6+54*t^7-24*t^8+7*t^9-t^10
13a_3864	 3-18*t+47*t^2-74*t^3+85*t^4-74*t^5+47*t^6-18*t^7+3*t^8
13a_3865	 5-30*t+74*t^2-97*t^3+74*t^4-30*t^5+5*t^6
13a_3866	 -2+15*t-49*t^2+95*t^3-117*t^4+95*t^5-49*t^6+15*t^7-2*t^8
13a_3867	 3-17*t+42*t^2-62*t^3+69*t^4-62*t^5+42*t^6-17*t^7+3*t^8
13a_3868	 6-35*t+86*t^2-113*t^3+86*t^4-35*t^5+6*t^6
13a_3869	 -1+6*t-16*t^2+28*t^3-35*t^4+37*t^5-35*t^6+28*t^7-16*t^8+6*t^9-t^10
13a_3870	 -2+13*t-38*t^2+70*t^3-85*t^4+70*t^5-38*t^6+13*t^7-2*t^8
13a_3871	 -2+14*t-41*t^2+74*t^3-89*t^4+74*t^5-41*t^6+14*t^7-2*t^8
13a_3872	 3-16*t+38*t^2-54*t^3+59*t^4-54*t^5+38*t^6-16*t^7+3*t^8
13a_3873	 6-34*t+83*t^2-109*t^3+83*t^4-34*t^5+6*t^6
13a_3874	 3-18*t+48*t^2-77*t^3+89*t^4-77*t^5+48*t^6-18*t^7+3*t^8
13a_3875	 1-11*t+47*t^2-105*t^3+137*t^4-105*t^5+47*t^6-11*t^7+t^8
13a_3876	 2-15*t+53*t^2-109*t^3+139*t^4-109*t^5+53*t^6-15*t^7+2*t^8
13a_3877	 -1+6*t-19*t^2+40*t^3-60*t^4+69*t^5-60*t^6+40*t^7-19*t^8+6*t^9-t^10
13a_3878	 1-5*t+14*t^2-28*t^3+42*t^4-47*t^5+42*t^6-28*t^7+14*t^8-5*t^9+t^10
13a_3879	 2-10*t+24*t^2-38*t^3+45*t^4-38*t^5+24*t^6-10*t^7+2*t^8
13a_3880	 2-9*t+20*t^2-31*t^3+37*t^4-31*t^5+20*t^6-9*t^7+2*t^8
13a_3881	 4-19*t+39*t^2-47*t^3+39*t^4-19*t^5+4*t^6
13a_3882	 -1+7*t-22*t^2+44*t^3-63*t^4+71*t^5-63*t^6+44*t^7-22*t^8+7*t^9-t^10
13a_3883	 -2+15*t-49*t^2+94*t^3-115*t^4+94*t^5-49*t^6+15*t^7-2*t^8
13a_3884	 -1+7*t-24*t^2+52*t^3-80*t^4+93*t^5-80*t^6+52*t^7-24*t^8+7*t^9-t^10
13a_3885	 -1+6*t-19*t^2+38*t^3-56*t^4+65*t^5-56*t^6+38*t^7-19*t^8+6*t^9-t^10
13a_3886	 -2+13*t-40*t^2+73*t^3-87*t^4+73*t^5-40*t^6+13*t^7-2*t^8
13a_3887	 -2+16*t-56*t^2+113*t^3-141*t^4+113*t^5-56*t^6+16*t^7-2*t^8
13a_3888	 1-6*t+17*t^2-30*t^3+41*t^4-45*t^5+41*t^6-30*t^7+17*t^8-6*t^9+t^10
13a_3889	 -3+13*t-28*t^2+43*t^3-49*t^4+43*t^5-28*t^6+13*t^7-3*t^8
13a_3890	 -6+28*t-59*t^2+75*t^3-59*t^4+28*t^5-6*t^6
13a_3891	 2-12*t+34*t^2-58*t^3+69*t^4-58*t^5+34*t^6-12*t^7+2*t^8
13a_3892	 1-6*t+17*t^2-30*t^3+42*t^4-47*t^5+42*t^6-30*t^7+17*t^8-6*t^9+t^10
13a_3893	 2-13*t+38*t^2-64*t^3+75*t^4-64*t^5+38*t^6-13*t^7+2*t^8
13a_3894	 -2+14*t-42*t^2+74*t^3-87*t^4+74*t^5-42*t^6+14*t^7-2*t^8
13a_3895	 -1+5*t-12*t^2+22*t^3-30*t^4+33*t^5-30*t^6+22*t^7-12*t^8+5*t^9-t^10
13a_3896	 -2+8*t-14*t^2+20*t^3-23*t^4+20*t^5-14*t^6+8*t^7-2*t^8
13a_3897	 -2+11*t-27*t^2+45*t^3-53*t^4+45*t^5-27*t^6+11*t^7-2*t^8
13a_3898	 -4+18*t-33*t^2+39*t^3-33*t^4+18*t^5-4*t^6
13a_3899	 -1+5*t-10*t^2+16*t^3-20*t^4+21*t^5-20*t^6+16*t^7-10*t^8+5*t^9-t^10
13a_3900	 -2+11*t-24*t^2+37*t^3-43*t^4+37*t^5-24*t^6+11*t^7-2*t^8
13a_3901	 -2+10*t-20*t^2+30*t^3-35*t^4+30*t^5-20*t^6+10*t^7-2*t^8
13a_3902	 -4+21*t-41*t^2+49*t^3-41*t^4+21*t^5-4*t^6
13a_3903	 -1+6*t-17*t^2+34*t^3-49*t^4+55*t^5-49*t^6+34*t^7-17*t^8+6*t^9-t^10
13a_3904	 -1+6*t-17*t^2+29*t^3-34*t^4+35*t^5-34*t^6+29*t^7-17*t^8+6*t^9-t^10
13a_3905	 -2+13*t-40*t^2+74*t^3-89*t^4+74*t^5-40*t^6+13*t^7-2*t^8
13a_3906	 -7+29*t-54*t^2+65*t^3-54*t^4+29*t^5-7*t^6
13a_3907	 2-12*t+33*t^2-56*t^3+67*t^4-56*t^5+33*t^6-12*t^7+2*t^8
13a_3908	 -2+15*t-51*t^2+101*t^3-125*t^4+101*t^5-51*t^6+15*t^7-2*t^8
13a_3909	 1-7*t+25*t^2-57*t^3+90*t^4-103*t^5+90*t^6-57*t^7+25*t^8-7*t^9+t^10
13a_3910	 -1+7*t-25*t^2+59*t^3-98*t^4+117*t^5-98*t^6+59*t^7-25*t^8+7*t^9-t^10
13a_3911	 1-6*t+17*t^2-32*t^3+46*t^4-51*t^5+46*t^6-32*t^7+17*t^8-6*t^9+t^10
13a_3912	 2-13*t+38*t^2-68*t^3+83*t^4-68*t^5+38*t^6-13*t^7+2*t^8
13a_3913	 1-7*t+22*t^2-46*t^3+71*t^4-81*t^5+71*t^6-46*t^7+22*t^8-7*t^9+t^10
13a_3914	 -2+9*t-18*t^2+27*t^3-31*t^4+27*t^5-18*t^6+9*t^7-2*t^8
13a_3915	 -4+15*t-21*t^2+21*t^3-21*t^4+15*t^5-4*t^6
13a_3916	 -4+20*t-41*t^2+51*t^3-41*t^4+20*t^5-4*t^6
13a_3917	 -8+34*t-51*t^2+34*t^3-8*t^4
13a_3918	 -2+12*t-32*t^2+56*t^3-67*t^4+56*t^5-32*t^6+12*t^7-2*t^8
13a_3919	 1-6*t+20*t^2-42*t^3+63*t^4-71*t^5+63*t^6-42*t^7+20*t^8-6*t^9+t^10
13a_3920	 2-13*t+44*t^2-88*t^3+111*t^4-88*t^5+44*t^6-13*t^7+2*t^8
13a_3921	 -1+7*t-26*t^2+62*t^3-103*t^4+123*t^5-103*t^6+62*t^7-26*t^8+7*t^9-t^10
13a_3922	 -1+6*t-18*t^2+34*t^3-47*t^4+53*t^5-47*t^6+34*t^7-18*t^8+6*t^9-t^10
13a_3923	 -2+13*t-40*t^2+73*t^3-87*t^4+73*t^5-40*t^6+13*t^7-2*t^8
13a_3924	 3-19*t+56*t^2-100*t^3+121*t^4-100*t^5+56*t^6-19*t^7+3*t^8
13a_3925	 -2+14*t-46*t^2+88*t^3-107*t^4+88*t^5-46*t^6+14*t^7-2*t^8
13a_3926	 -2+13*t-40*t^2+72*t^3-85*t^4+72*t^5-40*t^6+13*t^7-2*t^8
13a_3927	 -3+18*t-48*t^2+67*t^3-48*t^4+18*t^5-3*t^6
13a_3928	 -2+15*t-49*t^2+93*t^3-113*t^4+93*t^5-49*t^6+15*t^7-2*t^8
13a_3929	 -2+14*t-43*t^2+78*t^3-93*t^4+78*t^5-43*t^6+14*t^7-2*t^8
13a_3930	 7-38*t+90*t^2-117*t^3+90*t^4-38*t^5+7*t^6
13a_3931	 -2+13*t-38*t^2+66*t^3-77*t^4+66*t^5-38*t^6+13*t^7-2*t^8
13a_3932	 -2+13*t-39*t^2+69*t^3-81*t^4+69*t^5-39*t^6+13*t^7-2*t^8
13a_3933	 -4+25*t-66*t^2+91*t^3-66*t^4+25*t^5-4*t^6
13a_3934	 2-16*t+56*t^2-114*t^3+145*t^4-114*t^5+56*t^6-16*t^7+2*t^8
13a_3935	 -1+10*t-34*t^2+62*t^3-73*t^4+62*t^5-34*t^6+10*t^7-t^8
13a_3936	 -2+19*t-59*t^2+85*t^3-59*t^4+19*t^5-2*t^6
13a_3937	 -2+16*t-56*t^2+111*t^3-137*t^4+111*t^5-56*t^6+16*t^7-2*t^8
13a_3938	 3-18*t+52*t^2-89*t^3+105*t^4-89*t^5+52*t^6-18*t^7+3*t^8
13a_3939	 1-6*t+19*t^2-41*t^3+64*t^4-73*t^5+64*t^6-41*t^7+19*t^8-6*t^9+t^10
13a_3940	 3-16*t+38*t^2-59*t^3+69*t^4-59*t^5+38*t^6-16*t^7+3*t^8
13a_3941	 3-18*t+52*t^2-91*t^3+109*t^4-91*t^5+52*t^6-18*t^7+3*t^8
13a_3942	 2-11*t+30*t^2-54*t^3+67*t^4-54*t^5+30*t^6-11*t^7+2*t^8
13a_3943	 3-17*t+46*t^2-77*t^3+91*t^4-77*t^5+46*t^6-17*t^7+3*t^8
13a_3944	 -3+16*t-41*t^2+69*t^3-81*t^4+69*t^5-41*t^6+16*t^7-3*t^8
13a_3945	 -3+18*t-51*t^2+91*t^3-109*t^4+91*t^5-51*t^6+18*t^7-3*t^8
13a_3946	 2-14*t+46*t^2-89*t^3+111*t^4-89*t^5+46*t^6-14*t^7+2*t^8
13a_3947	 5-26*t+60*t^2-77*t^3+60*t^4-26*t^5+5*t^6
13a_3948	 6-34*t+78*t^2-99*t^3+78*t^4-34*t^5+6*t^6
13a_3949	 -1+5*t-14*t^2+28*t^3-41*t^4+47*t^5-41*t^6+28*t^7-14*t^8+5*t^9-t^10
13a_3950	 -2+11*t-31*t^2+56*t^3-67*t^4+56*t^5-31*t^6+11*t^7-2*t^8
13a_3951	 -1+6*t-18*t^2+38*t^3-57*t^4+65*t^5-57*t^6+38*t^7-18*t^8+6*t^9-t^10
13a_3952	 1-6*t+18*t^2-36*t^3+53*t^4-59*t^5+53*t^6-36*t^7+18*t^8-6*t^9+t^10
13a_3953	 2-13*t+41*t^2-80*t^3+101*t^4-80*t^5+41*t^6-13*t^7+2*t^8
13a_3954	 -1+6*t-17*t^2+33*t^3-46*t^4+51*t^5-46*t^6+33*t^7-17*t^8+6*t^9-t^10
13a_3955	 -2+13*t-38*t^2+70*t^3-85*t^4+70*t^5-38*t^6+13*t^7-2*t^8
13a_3956	 -1+11*t-43*t^2+86*t^3-105*t^4+86*t^5-43*t^6+11*t^7-t^8
13a_3957	 1-7*t+26*t^2-64*t^3+109*t^4-129*t^5+109*t^6-64*t^7+26*t^8-7*t^9+t^10
13a_3958	 3-19*t+56*t^2-97*t^3+115*t^4-97*t^5+56*t^6-19*t^7+3*t^8
13a_3959	 -2+11*t-29*t^2+52*t^3-63*t^4+52*t^5-29*t^6+11*t^7-2*t^8
13a_3960	 -3+16*t-37*t^2+58*t^3-67*t^4+58*t^5-37*t^6+16*t^7-3*t^8
13a_3961	 -3+17*t-40*t^2+61*t^3-69*t^4+61*t^5-40*t^6+17*t^7-3*t^8
13a_3962	 12-47*t+91*t^2-111*t^3+91*t^4-47*t^5+12*t^6
13a_3963	 -7+40*t-90*t^2+115*t^3-90*t^4+40*t^5-7*t^6
13a_3964	 -3+17*t-41*t^2+66*t^3-77*t^4+66*t^5-41*t^6+17*t^7-3*t^8
13a_3965	 -3+17*t-39*t^2+58*t^3-65*t^4+58*t^5-39*t^6+17*t^7-3*t^8
13a_3966	 -6+35*t-80*t^2+103*t^3-80*t^4+35*t^5-6*t^6
13a_3967	 -5+25*t-50*t^2+61*t^3-50*t^4+25*t^5-5*t^6
13a_3968	 -6+34*t-77*t^2+99*t^3-77*t^4+34*t^5-6*t^6
13a_3969	 6-32*t+72*t^2-91*t^3+72*t^4-32*t^5+6*t^6
13a_3970	 3-16*t+40*t^2-65*t^3+77*t^4-65*t^5+40*t^6-16*t^7+3*t^8
13a_3971	 11-41*t+77*t^2-93*t^3+77*t^4-41*t^5+11*t^6
13a_3972	 2-13*t+40*t^2-76*t^3+95*t^4-76*t^5+40*t^6-13*t^7+2*t^8
13a_3973	 1-12*t+48*t^2-99*t^3+125*t^4-99*t^5+48*t^6-12*t^7+t^8
13a_3974	 -3+17*t-39*t^2+60*t^3-69*t^4+60*t^5-39*t^6+17*t^7-3*t^8
